[Ontology1.John_Travolta]
[Ontology1.Quentin_Tarantino]
[Ontology1.Uma_Thurman]
[Ontology1.Blaine Novak]
[Ontology1.Audrey Hepburn]
[Ontology1.Ben Gazzara]
[Ontology1.Patti Hansen]
[Ontology1.John Ritter]
[Ontology1.Dorothy Stratten]
[Ontology1.Colleen Camp]
[Ontology1.Glenn Scarpelli]
[Ontology1.Vassili Lambrinos]
[Ontology1.Svenja Steinfelder]
[Ontology1.Eva Löbau]
[Ontology1.Chris O'Dowd]
[Ontology1.Ricky Champ]
[Ontology1.Gareth Llewelyn]
[Ontology1.Jinde Khan]
[Ontology1.Martin Löschmann]
[Ontology1.Zorana Musikic]
[Ontology1.Jado Alagad John]
[Ontology1.Nathalie Sorrell]
[Ontology1.Gabriel Kashin]
[Ontology1.Pete Postlethwaite]
[Ontology1.Tara Fitzgerald]
[Ontology1.Ewan McGregor]
[Ontology1.Stephen Tompkinson]
[Ontology1.Jim Carter]
[Ontology1.Philip Jackson]
[Ontology1.Peter Martin]
[Ontology1.Sue Johnston]
[Ontology1.Melanie Hill]
[Ontology1.Lill Roughley]
[Ontology1.Peter Gunn]
[Ontology1.Kenneth Colley]
[Ontology1.Olga Grahame]
[Ontology1.Bernard Wrigley]
[Ontology1.Ken Kitson]
[Ontology1.Adrian Hood]
[Ontology1.Mary Healey]
[Ontology1.Sally Sheridan]
[Ontology1.Daniela Schmidt]
[Ontology1.Diana García]
[Ontology1.Patricia Llaca]
[Ontology1.Ana Layevska]
[Ontology1.Maya Zapata]
[Ontology1.Koichi Sato]
[Ontology1.Masahiro Motoki]
[Ontology1.Takeshi Kitano]
[Ontology1.Jinpachi Nezu]
[Ontology1.Kippei Shiina]
[Ontology1.Naoto Takenaka]
[Ontology1.Kazuya Kimura]
[Ontology1.Chiaki Kuriyama]
[Ontology1.Daisuke Iijima]
[Ontology1.Ryo Iwamatsu]
[Ontology1.Maiko Kawakami]
[Ontology1.Hideo Murota]
[Ontology1.Eiko Nagashima]
[Ontology1.Toshiyuki Nagashima]
[Ontology1.Kanji Tsuda]
[Ontology1.Shingo Tsurumi]
[Ontology1.Megumi Yokoyama]
[Ontology1.Gary Bond]
[Ontology1.Donald Pleasence]
[Ontology1.Chips Rafferty]
[Ontology1.Sylvia Kay]
[Ontology1.John Meillon]
[Ontology1.Jack Thompson]
[Ontology1.Peter Whittle]
[Ontology1.Al Thomas]
[Ontology1.Dawn Lake]
