[Ontology1.They All Laughed, Ontology1.Peter Bogdanovich]
[Ontology1.Gonin, Ontology1.Takashi Ishii]
[Ontology1.Wake in Fright, Ontology1.Ted Kotcheff]
[Ontology1.Sharpshooter, Ontology1.Armand Mastroianni]
[Ontology1.Ground Zero, Ontology1.Bruce Myles]
[Ontology1.Ground Zero, Ontology1.Michael Pattinson]
[Ontology1.Taken 3, Ontology1.Olivier Megaton]
[Ontology1.The Last Deadly Mission, Ontology1.Olivier Marchal]
[Ontology1.The Purge: Anarchy, Ontology1.James DeMonaco]
[Ontology1.3 ½ Minutes, 10 Bullets, Ontology1.Marc Silver]
[Ontology1.The Bastards, Ontology1.Amat Escalante]
[Ontology1.The Girl in a Swing, Ontology1.Gordon Hessler]
[Ontology1.The Ghost Ship, Ontology1.Mark Robson]
[Ontology1.Aamir, Ontology1.Raj Kumar Gupta]
[Ontology1.Dark Alibi, Ontology1.Phil Karlson]
[Ontology1.The Broken, Ontology1.Sean Ellis]
[Ontology1.21 Days, Ontology1.Kathleen Behun]
[Ontology1.Bad Influence, Ontology1.Curtis Hanson]
[Ontology1.Swelter, Ontology1.Keith Parmer]
[Ontology1.Children of the Corn, Ontology1.Fritz Kiersch]
[Ontology1.A Nightmare on Elm Street 4: The Dream Master, Ontology1.Renny Harlin]
[Ontology1.They Made Me a Criminal, Ontology1.Busby Berkeley]
[Ontology1.The Returned, Ontology1.Manuel Carballo]
[Ontology1.Journey to the End of the Night, Ontology1.Eric Eason]
[Ontology1.In Their Skin, Ontology1.Jeremy Power Regimbal]
[Ontology1.Dream Lover, Ontology1.Nicholas Kazan]
[Ontology1.Absence of Malice, Ontology1.Sydney Pollack]
[Ontology1.The Lonely Villa, Ontology1.D.W. Griffith]
[Ontology1.Terminator Salvation, Ontology1.McG]
[Ontology1.Forgotten, Ontology1.Alex Schmidt]
[Ontology1.The Diabolical, Ontology1.Alistair Legrand]
[Ontology1.Reclaim, Ontology1.Alan White]
[Ontology1.Without a Paddle, Ontology1.Steven Brill]
[Ontology1.Seven Days in May, Ontology1.John Frankenheimer]
[Ontology1.Virtuosity, Ontology1.Brett Leonard]
[Ontology1.The Adjustment Bureau, Ontology1.George Nolfi]
[Ontology1.Stretch, Ontology1.Joe Carnahan]
[Ontology1.Goke, Body Snatcher from Hell, Ontology1.Hajime Sato]
[Ontology1.I Saw What You Did, Ontology1.William Castle]
[Ontology1.Live and Let Die, Ontology1.Guy Hamilton]
[Ontology1.The City of Violence, Ontology1.Ryoo Seung-wan]
[Ontology1.Watchers, Ontology1.Jon Hess]
[Ontology1.VANish, Ontology1.Bryan Bockbrader]
[Ontology1.Octopussy, Ontology1.John Glen]
[Ontology1.Junk Mail, Ontology1.Pål Sletaune]
[Ontology1.Blue Velvet, Ontology1.David Lynch]
[Ontology1.Dick Tracy Meets Gruesome, Ontology1.John Rawlins]
[Ontology1.Impostor, Ontology1.Gary Fleder]
[Ontology1.The Betrayed, Ontology1.Amanda Gusack]
[Ontology1.Charisma, Ontology1.Kiyoshi Kurosawa]
[Ontology1.Point of No Return, Ontology1.John Badham]
[Ontology1.Falling Down, Ontology1.Joel Schumacher]
[Ontology1.Love, Honour and Obey, Ontology1.Dominic Anciano]
[Ontology1.Love, Honour and Obey, Ontology1.Ray Burdis]
[Ontology1.The Conjuring, Ontology1.James Wan]
[Ontology1.State of Grace, Ontology1.Phil Joanou]
[Ontology1.Until Death, Ontology1.Simon Fellows]
[Ontology1.The Deadly Affair, Ontology1.Sidney Lumet]
[Ontology1.The Protector, Ontology1.Prachya Pinkaew]
[Ontology1.Thirst, Ontology1.Park Chan-wook]
[Ontology1.Mauvais Sang, Ontology1.Leos Carax]
[Ontology1.Perry Mason: The Case of the Sinister Spirit, Ontology1.Richard Lang]
[Ontology1.Zaat, Ontology1.Arnold Stevens]
[Ontology1.Zaat, Ontology1.Don Barton]
[Ontology1.Deadly Prey, Ontology1.David A. Prior]
[Ontology1.Three Strangers, Ontology1.Jean Negulesco]
[Ontology1.The Lobster, Ontology1.Yorgos Lanthimos]
[Ontology1.Vavien, Ontology1.Durul Taylan]
[Ontology1.Vavien, Ontology1.Yagmur Taylan]
[Ontology1.Cyberjack, Ontology1.Robert Lee]
[Ontology1.Train to Busan, Ontology1.Yeon Sang-Ho]
[Ontology1.Edge of Winter, Ontology1.Rob Connolly]
[Ontology1.Die Hard 2, Ontology1.Renny Harlin]
[Ontology1.Onus, Ontology1.George Clarke]
[Ontology1.Snow Beast, Ontology1.Brian Brough]
[Ontology1.The Bedroom Window, Ontology1.Curtis Hanson]
[Ontology1.Sister My Sister, Ontology1.Nancy Meckler]
[Ontology1.Cross Current, Ontology1.Tonino Ricci]
[Ontology1.A Sister's Secret, None]
[Ontology1.Tough Enough, Ontology1.Detlev Buck]
[Ontology1.The Guard, Ontology1.John Michael McDonagh]
[Ontology1.Johnny Mnemonic, Ontology1.Robert Longo]
[Ontology1.The Fourth Man, Ontology1.Paul Verhoeven]
[Ontology1.Asylum, Ontology1.Roy Ward Baker]
[Ontology1.Punishment Park, Ontology1.Peter Watkins]
[Ontology1.The Tesseract, Ontology1.Oxide Pang Chun]
[Ontology1.Without Evidence, Ontology1.Gill Dennis]
[Ontology1.Splice, Ontology1.Vincenzo Natali]
[Ontology1.Hellraiser: Bloodline, Ontology1.Kevin Yagher]
[Ontology1.Hellraiser: Bloodline, Ontology1.Joe Chappelle]
[Ontology1.2010: Moby Dick, Ontology1.Trey Stokes]
[Ontology1.Silent Night, Deadly Night, Ontology1.Charles E. Sellier Jr.]
[Ontology1.Transcendence, Ontology1.Wally Pfister]
[Ontology1.Alexandra's Project, Ontology1.Rolf de Heer]
[Ontology1.The Pact, Ontology1.Nicholas McCarthy]
[Ontology1.An Innocent Man, Ontology1.Peter Yates]
[Ontology1.Dark Tide, Ontology1.John Stockwell]
[Ontology1.The Book of Henry, Ontology1.Colin Trevorrow]
[Ontology1.Body Count, Ontology1.Robert Patton-Spruill]
[Ontology1.Le Corbeau, Ontology1.Henri-Georges Clouzot]
[Ontology1.Octopus, Ontology1.John Eyres]
[Ontology1.French Connection II, Ontology1.John Frankenheimer]
[Ontology1.Churchill, Ontology1.Jonathan Teplitzky]
[Ontology1.The other me, Ontology1.Sotiris Tsafoulias]
[Ontology1.Not Safe for Work, Ontology1.Joe Johnston]
[Ontology1.Puppet on a Chain, Ontology1.Geoffrey Reeve]
[Ontology1.The Silence of the Hams, Ontology1.Ezio Greggio]
[Ontology1.The Haunting, Ontology1.Robert Wise]
[Ontology1.The Carey Treatment, Ontology1.Blake Edwards]
[Ontology1.Lured, Ontology1.Douglas Sirk]
[Ontology1.One Night in Mongkok, Ontology1.Derek Yee Tung-Sing]
