[Ontology1.Toy Story, None, 1995]
[Ontology1.Grumpier Old Men, None, 1995]
[Ontology1.Waiting to Exhale, None, 1995]
[Ontology1.Father of the Bride Part II, None, 1995]
[Ontology1.Sabrina, None, 1995]
[Ontology1.The American President, None, 1995]
[Ontology1.Dracula: Dead and Loving It, None, 1995]
[Ontology1.Four Rooms, None, 1995]
[Ontology1.Ace Ventura: When Nature Calls, None, 1995]
[Ontology1.Money Train, None, 1995]
[Ontology1.Get Shorty, None, 1995]
[Ontology1.Now and Then, None, 1995]
[Ontology1.Babe, None, 1995]
[Ontology1.It Takes Two, None, 1995]
[Ontology1.Clueless, None, 1995]
[Ontology1.To Die For, None, 1995]
[Ontology1.Mighty Aphrodite, None, 1995]
[Ontology1.The Big Green, None, 1995]
[Ontology1.Home for the Holidays, None, 1995]
[Ontology1.The Postman, None, 1994]
[Ontology1.Don't Be a Menace to South Central While Drinking Your Juice in the Hood, None, 1996]
[Ontology1.Two If by Sea, None, 1996]
[Ontology1.Bio-Dome, None, 1996]
[Ontology1.French Twist, None, 1995]
[Ontology1.Friday, None, 1995]
[Ontology1.Kicking and Screaming, None, 1995]
[Ontology1.Big Bully, None, 1996]
[Ontology1.Antonia's Line, None, 1995]
[Ontology1.Dunston Checks In, None, 1996]
[Ontology1.Black Sheep, None, 1996]
[Ontology1.Vampire in Brooklyn, None, 1995]
[Ontology1.Beautiful Girls, None, 1996]
[Ontology1.A Midwinter's Tale, None, 1995]
[Ontology1.Bottle Rocket, None, 1996]
[Ontology1.Mr. Wrong, None, 1996]
[Ontology1.Happy Gilmore, None, 1996]
[Ontology1.Nobody Loves Me, None, 1994]
[Ontology1.Muppet Treasure Island, None, 1996]
[Ontology1.Rumble in the Bronx, None, 1995]
[Ontology1.Happiness Is in the Field, None, 1995]
[Ontology1.The Young Poisoner's Handbook, None, 1995]
[Ontology1.If Lucy Fell, None, 1996]
[Ontology1.Steal Big Steal Little, None, 1995]
[Ontology1.Race the Sun, None, 1996]
[Ontology1.Boomerang, None, 1992]
[Ontology1.Chungking Express, None, 1994]
[Ontology1.Flirting with Disaster, None, 1996]
[Ontology1.Angela, None, 1995]
[Ontology1.Nueba Yol, None, 1995]
[Ontology1.Down Periscope, None, 1996]
[Ontology1.Man of the Year, None, 1995]
[Ontology1.The Birdcage, None, 1996]
[Ontology1.The Brothers McMullen, None, 1995]
[Ontology1.Bad Boys, None, 1995]
[Ontology1.An Awfully Big Adventure, None, 1995]
[Ontology1.Amateur, None, 1994]
[Ontology1.Blue in the Face, None, 1995]
[Ontology1.Canadian Bacon, None, 1995]
[Ontology1.Casper, None, 1995]
[Ontology1.The Doom Generation, None, 1995]
[Ontology1.Jeffrey, None, 1995]
[Ontology1.Jury Duty, None, 1995]
[Ontology1.Living in Oblivion, None, 1995]
[Ontology1.Love & Human Remains, None, 1993]
[Ontology1.Mallrats, None, 1995]
[Ontology1.Moonlight and Valentino, None, 1995]
[Ontology1.Nine Months, None, 1995]
[Ontology1.Party Girl, None, 1995]
[Ontology1.Reckless, None, 1995]
[Ontology1.Smoke, None, 1995]
[Ontology1.Something to Talk About, None, 1995]
[Ontology1.To Wong Foo, Thanks for Everything! Julie Newmar, None, 1995]
[Ontology1.Bushwhacked, None, 1995]
